"No.","Disease 1","Disease 2","Disease 3","Prevalence (%)","Reference Link"
"66","Diabetes","Cardiovascular Disease","Heart Failure","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"67","Hypertension","Hyperlipidemia","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"68","Hypertension","Diabetes","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"69","Hypertension","Arthritis","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"70","Diabetes","Arthritis","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"71","Hypertension","Asthma/COPD","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"72","Diabetes","Asthma/COPD","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"73","Hypertension","Cardiovascular Disease","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"74","Diabetes","Cardiovascular Disease","Chronic Pain","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"75","Hypertension","Hyperlipidemia","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"76","Hypertension","Diabetes","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"77","Hypertension","Arthritis","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"78","Diabetes","Arthritis","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"79","Hypertension","Asthma/COPD","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"80","Diabetes","Asthma/COPD","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"81","Hypertension","Cardiovascular Disease","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"82","Diabetes","Cardiovascular Disease","Anxiety","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"83","Hypertension","Hyperlipidemia","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"84","Hypertension","Diabetes","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"85","Hypertension","Arthritis","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"86","Diabetes","Arthritis","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"87","Hypertension","Asthma/COPD","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"88","Diabetes","Asthma/COPD","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"89","Hypertension","Cardiovascular Disease","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"90","Diabetes","Cardiovascular Disease","Osteoporosis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"91","Hypertension","Hyperlipidemia","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"92","Hypertension","Diabetes","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"93","Hypertension","Arthritis","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"94","Diabetes","Arthritis","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"95","Hypertension","Asthma/COPD","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"96","Diabetes","Asthma/COPD","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"97","Hypertension","Cardiovascular Disease","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"98","Diabetes","Cardiovascular Disease","Thyroid Disorders","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"99","Hypertension","Hyperlipidemia","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
"100","Hypertension","Diabetes","Osteoarthritis","","https://pmc.ncbi.nlm.nih.gov/articles/PMC9717681/"
